# Bright-sky pack star tile generated from the Tycho-2 Catalogue.
# Generated resource - do not edit; see ../../PROVENANCE.md.
# id,ra_deg,dec_deg,vmag
TYC 7388-1093-1,263.402194,-37.103748,1.62
TYC 7892-7679-1,264.329691,-42.997822,1.86
TYC 7367-804-1,252.540885,-34.293228,2.27
TYC 7885-2065-1,265.621999,-39.029921,2.37
TYC 7387-1249-1,262.690979,-37.295813,2.64
TYC 8350-2600-1,262.960379,-49.876143,2.80
TYC 8732-2866-1,261.324957,-55.529885,2.81
TYC 7868-1821-1,252.967659,-38.047327,2.99
TYC 7889-2669-1,266.896172,-40.126995,3.00
TYC 8730-1439-1,254.655055,-55.990141,3.10
TYC 7389-2159-1,267.464518,-37.043300,3.19
TYC 8736-3857-1,261.348581,-56.377689,3.29
TYC 7882-569-1,258.038303,-43.239191,3.32
TYC 7851-1814-1,240.030531,-38.396703,3.39
TYC 7868-1820-1,253.083936,-38.017535,3.53
TYC 7876-2871-1,253.645860,-42.361311,3.62
TYC 8725-3067-1,252.446482,-59.041377,3.76
TYC 8320-2290-1,244.960098,-50.155509,4.01
TYC 8726-2208-1,254.896031,-53.160441,4.06
TYC 7353-3153-1,249.093634,-35.255326,4.18
TYC 7342-1315-1,241.648096,-36.802284,4.19
TYC 7353-3152-1,247.845556,-34.704369,4.22
TYC 7884-2876-1,264.136835,-38.635355,4.27
TYC 8316-4441-1,246.795983,-47.554791,4.52
TYC 8342-6346-1,263.914966,-46.505683,4.56
TYC 8318-1128-1,240.803742,-49.229699,4.65
TYC 8718-2860-1,240.883723,-57.775064,4.68
TYC 8310-1489-1,241.622604,-45.173210,4.72
TYC 8351-2577-1,265.099282,-49.415586,4.76
TYC 7876-2743-1,253.498861,-42.362025,4.78
TYC 7377-1056-1,267.293654,-31.703205,4.79
TYC 7890-2436-1,267.546299,-40.090434,4.81
TYC 7898-2022-1,269.197589,-44.342243,4.86
TYC 7368-1546-1,256.205633,-34.122929,4.87
TYC 7851-1815-1,240.850788,-38.602541,4.87
TYC 7894-3355-1,269.449180,-41.716297,4.89
TYC 7866-3007-1,248.520928,-44.045317,4.91
TYC 8715-2592-1,243.369702,-54.630466,4.96
TYC 8319-1759-1,244.253894,-50.068122,4.98
TYC 7364-2287-1,255.469344,-32.143525,5.00
TYC 7882-570-1,257.676344,-44.557707,5.07
TYC 7895-5293-1,261.054535,-44.162571,5.10
TYC 8315-1750-1,243.813812,-47.372026,5.12
TYC 8355-436-1,266.036270,-51.834057,5.13
TYC 7378-3132-1,269.772003,-30.253023,5.20
TYC 8353-3055-1,261.500175,-50.633507,5.20
TYC 8345-4829-1,260.816979,-47.468201,5.24
TYC 7872-2284-1,252.890507,-41.230533,5.25
TYC 8733-2365-1,264.522984,-54.500433,5.25
TYC 8726-2209-1,255.786264,-53.236994,5.29
TYC 8320-2258-1,245.616646,-49.572357,5.31
TYC 7862-1036-1,247.924035,-41.817142,5.33
TYC 7892-7679-2,264.327945,-42.996559,5.36
TYC 8312-3982-1,247.426363,-46.243233,5.36
