# Reference vectors for the ecliptic reference geometry
#
# Provenance
#   Computed with IAU SOFA, release 2023-10-11, ANSI C:
#     https://www.iausofa.org/2023-10-11c
#     https://www.iausofa.org/s/sofa_c-20231011tar.gz
#     sha256 d9c10833cae8b4d9361a0ffda31ec361fd1262362025bec4d4e51a880150ace2
#   Generated by scripts/ecliptic-vectors.c in this repository, which
#   calls the unmodified library (iauObl80, iauEcm06). This file and
#   that program are not SOFA software and are not endorsed by, SOFA.
#
#   The atlas takes no dependency on SOFA at run time or at build time:
#   these are numbers an authority produced, checked in so the fixed
#   mean-ecliptic-of-J2000 model can be held to them, and nothing here
#   is fetched, compiled, or called by the application.
#
# Columns
#   obliquity_j2000_deg : IAU 1980 mean obliquity at J2000.0
#   ecl <lambda> <beta> <ra_j2000> <dec_j2000> : the ICRS/J2000
#     equatorial direction of an ecliptic-frame direction, via the
#     J2000 ecliptic matrix (iauEcm06), degrees.
#
obliquity_j2000_deg 23.439291111
ecl 0.0000 0.0000 359.999995944 0.000004616
ecl 45.0000 0.0000 42.535822513 16.336068886
ecl 90.0000 0.0000 89.999997946 23.439281339
ecl 135.0000 0.0000 137.464171205 16.336062083
ecl 180.0000 0.0000 179.999995944 -0.000004616
ecl 225.0000 0.0000 222.535822513 -16.336068886
ecl 270.0000 0.0000 269.999997946 -23.439281339
ecl 315.0000 0.0000 317.464171205 -16.336062083
