tyc,name,bayer,flamsteed,constellation
TYC 294-1032-1,Minelauva,δ,43,Vir
TYC 294-1033-1,,,37,Vir
TYC 296-905-1,,,,Vir
TYC 296-1051-1,,d1,31,Vir
TYC 300-1266-1,,,,Vir
TYC 304-969-1,,,,
TYC 305-948-1,,σ,60,Vir
TYC 306-269-1,,,64,Vir
TYC 309-1396-1,,,92,Vir
TYC 310-1430-1,,o,78,Vir
TYC 311-1612-1,,,84,Vir
TYC 316-1271-1,,τ,93,Vir
TYC 317-1590-1,,,,Vir
TYC 318-438-1,,,,
TYC 320-1576-1,,,,Vir
TYC 321-280-1,,,,Vir
TYC 326-1426-1,,,109,Vir
TYC 326-1427-1,,,108,Vir
TYC 336-1027-1,,,5,Ser
TYC 336-1028-1,,,6,Ser
TYC 336-1029-1,,,4,Ser
TYC 337-843-1,,,10,Ser
TYC 338-1145-1,,,110,Vir
TYC 344-1146-1,,,3,Ser
TYC 355-1288-1,,ψ,23,Ser
TYC 356-1276-1,,ω,34,Ser
TYC 360-1226-1,,ε,37,Ser
TYC 363-1135-1,Unukalhai,α,24,Ser
TYC 364-1224-1,,λ,27,Ser
TYC 368-1592-1,,σ,50,Ser
TYC 374-1423-1,,,43,Ser
TYC 375-1614-1,,,9,Her
TYC 381-1598-1,,o,21,Her
TYC 383-1787-1,,,14,Oph
TYC 384-2284-1,,,21,Oph
TYC 384-2285-1,,,16,Oph
TYC 386-86-1,Rosalíadecastro,,,
TYC 386-2062-1,Marfik,λ,10,Oph
TYC 388-497-1,,,19,Oph
TYC 390-2239-1,,n,28,Her
TYC 391-2824-1,,,37,Her
TYC 391-2825-1,,,36,Her
TYC 392-2704-1,,l,45,Her
TYC 395-2558-1,,,41,Her
TYC 396-2346-1,,k,47,Her
TYC 398-1908-1,,,,Oph
TYC 400-1862-1,,,38,Oph
TYC 404-360-1,,,,Oph
TYC 404-2156-1,,,,Oph
TYC 409-1922-1,,σ,49,Oph
TYC 412-1246-1,,,,Oph
TYC 417-2592-1,,,,Oph
TYC 419-1909-1,,,,
TYC 419-2147-1,,,61,Oph
TYC 420-1962-1,Muliphen,γ,62,Oph
TYC 423-1724-1,Cebalrai,β,60,Oph
TYC 430-3748-1,,,68,Oph
TYC 430-3749-1,,,,Oph
TYC 432-1027-1,,,,Oph
TYC 433-595-1,,d,59,Ser
TYC 434-5198-1,,,67,Oph
TYC 434-5201-1,,,,Oph
TYC 434-5213-1,,p,70,Oph
TYC 436-3049-1,,,,Oph
TYC 436-3545-1,,,74,Oph
TYC 438-1374-1,,,,
TYC 438-2741-1,,,66,Oph
TYC 439-1445-1,,,73,Oph
TYC 440-3824-1,,,,Ser
