tyc,name,bayer,flamsteed,constellation
TYC 1280-1436-1,,,96,Tau
TYC 1281-792-1,,,101,Tau
TYC 1282-2291-1,,,15,Ori
TYC 1282-2292-1,,,11,Ori
TYC 1286-403-1,,m,104,Tau
TYC 1288-1706-1,,i,97,Tau
TYC 1290-1638-1,,l,106,Tau
TYC 1291-292-1,,,,Tau
TYC 1293-2747-1,,ι,102,Tau
TYC 1294-2526-1,,,105,Tau
TYC 1295-1611-1,,,108,Tau
TYC 1295-1998-1,,n,109,Tau
TYC 1296-357-1,,,110,Tau
TYC 1296-389-1,,,113,Tau
TYC 1296-2340-1,,,116,Tau
TYC 1298-373-1,,,126,Tau
TYC 1299-1090-1,,,129,Tau
TYC 1300-2224-1,,,115,Tau
TYC 1300-2225-1,,,111,Tau
TYC 1301-707-1,The Ruby Star,,119,Tau
TYC 1301-818-1,,,120,Tau
TYC 1301-1940-1,,,117,Tau
TYC 1302-362-1,,,122,Tau
TYC 1303-16-1,,,130,Tau
TYC 1304-1144-1,,,,Tau
TYC 1308-2240-1,,o,114,Tau
TYC 1310-2697-1,Tianguan,ζ,123,Tau
TYC 1311-3045-1,,,,Tau
TYC 1313-1343-1,,,,
TYC 1314-1953-1,,f2,72,Ori
TYC 1314-1954-1,,f1,69,Ori
TYC 1319-2252-1,,,,Ori
TYC 1320-1695-1,,,57,Ori
TYC 1320-2118-1,,χ1,54,Ori
TYC 1321-1515-1,,χ2,62,Ori
TYC 1321-1516-1,,,64,Ori
TYC 1322-1495-1,,,68,Ori
TYC 1322-1496-1,,,71,Ori
TYC 1325-1905-1,,,141,Tau
TYC 1328-708-1,,,19,Gem
TYC 1329-646-1,,,23,Gem
TYC 1329-1746-1,Alhena,γ,24,Gem
TYC 1331-1127-1,,,33,Gem
TYC 1333-1679-1,,,20,Gem
TYC 1334-2419-1,,,26,Gem
TYC 1336-16-1,,,,Gem
TYC 1336-263-1,,,16,Gem
TYC 1336-1812-1,Nucatai,ν,18,Gem
TYC 1340-2544-1,,,15,Gem
TYC 1343-2919-1,,d,36,Gem
TYC 1344-969-1,,,41,Gem
TYC 1345-1965-1,,,45,Gem
TYC 1346-1396-1,,λ,54,Gem
TYC 1346-1397-1,,,51,Gem
TYC 1347-553-1,,,,Gem
TYC 1348-40-1,,,,Gem
TYC 1353-1550-1,Mekbuda,ζ,43,Gem
TYC 1355-489-1,,,61,Gem
TYC 1355-1288-1,,,56,Gem
TYC 1359-2672-1,Wasat,δ,55,Gem
TYC 1359-2673-1,,,63,Gem
TYC 1360-2332-1,,,68,Gem
TYC 1363-2476-1,,,1,Cnc
TYC 1365-2231-1,,,,Gem
TYC 1365-2474-1,,f,74,Gem
TYC 1366-2455-1,,g,81,Gem
TYC 1370-1271-1,,,79,Gem
TYC 1371-2373-1,,,85,Gem
TYC 1376-394-1,,,5,Cnc
TYC 1380-1830-1,,,3,Cnc
TYC 1381-1638-1,Tegmine,ζ1,16,Cnc
TYC 1382-86-1,,d1,20,Cnc
TYC 1383-84-1,,d2,25,Cnc
TYC 1383-1642-1,,θ,31,Cnc
TYC 1388-1791-1,,μ,10,Cnc
TYC 1393-1968-1,,,54,Cnc
TYC 1394-1851-1,,,,Cnc
TYC 1394-2121-1,,ο2,63,Cnc
TYC 1394-2122-1,,ο1,62,Cnc
TYC 1395-806-1,,,40,Cnc
TYC 1395-2327-1,,,35,Cnc
TYC 1395-2544-1,,,38,Cnc
TYC 1395-2552-1,,,,Cnc
TYC 1395-2605-1,,,42,Cnc
TYC 1395-2733-1,Meleph,ε,41,Cnc
TYC 1396-2758-1,Asellus Australis,δ,47,Cnc
TYC 1397-943-1,,,,Cnc
TYC 1398-27-1,,,39,Cnc
TYC 1398-3161-1,,η,33,Cnc
TYC 1399-2905-1,Asellus Borealis,γ,43,Cnc
TYC 1404-1801-1,,,80,Cnc
TYC 1405-943-1,,,83,Cnc
TYC 1407-809-1,,,79,Cnc
TYC 1407-1989-1,Nahn,ξ,77,Cnc
TYC 1410-784-1,,,8,Leo
TYC 1412-1695-1,Al Jabhah,η,30,Leo
TYC 1417-1531-1,,,20,Leo
TYC 1423-1349-1,Algieba,γ1,41,Leo
TYC 1423-1351-1,,,40,Leo
TYC 1425-1567-1,,,,
TYC 1431-1368-1,,m,51,Leo
TYC 1436-1306-1,,b,60,Leo
TYC 1437-2846-1,,,81,Leo
TYC 1437-2847-1,Chertan,θ,70,Leo
TYC 1438-2838-1,,,86,Leo
TYC 1438-2840-1,,,90,Leo
TYC 1438-2841-1,,,85,Leo
TYC 1439-2479-1,Zosma,δ,68,Leo
TYC 1440-2596-1,,,92,Leo
TYC 1440-2597-1,Formosa,,,
TYC 1441-2498-1,,o,95,Leo
TYC 1442-1900-1,,,3,Com
TYC 1443-2662-1,,,93,Leo
TYC 1444-1593-1,,,1,Com
TYC 1444-2450-1,,,,Com
TYC 1444-2568-1,,,2,Com
TYC 1444-2570-1,,,5,Com
TYC 1445-2560-1,,,11,Com
TYC 1446-2468-1,,,24,Com
TYC 1446-2469-1,,,24,Com
TYC 1446-2470-1,,,25,Com
TYC 1446-2471-1,,,27,Com
TYC 1447-2842-1,,,20,Com
TYC 1448-3273-1,,,26,Com
TYC 1449-991-1,,,32,Com
TYC 1450-1132-1,,,38,Com
TYC 1450-1133-1,,,36,Com
TYC 1451-1151-1,,,,
TYC 1454-1134-1,Diadem,α,42,Com
TYC 1455-1412-1,,,35,Com
TYC 1456-522-1,,,,Com
TYC 1456-847-1,,,39,Com
TYC 1460-132-1,,τ,4,Boo
TYC 1460-1180-1,,υ,5,Boo
TYC 1462-202-1,,,1,Boo
TYC 1465-1157-1,,,2,Boo
TYC 1466-1082-1,,e,6,Boo
TYC 1468-1330-1,,,,Boo
TYC 1469-1455-1,,,20,Boo
TYC 1469-1456-1,,,101,Boo
TYC 1470-940-1,,,7,Boo
TYC 1470-1157-1,Muphrid,η,8,Boo
TYC 1472-1436-1,Arcturus,α,16,Boo
TYC 1473-1074-1,,,10,Boo
TYC 1477-189-1,,ο,35,Boo
TYC 1477-1336-1,,π1,29,Boo
TYC 1478-509-1,,,,Boo
TYC 1479-1217-1,,f,22,Boo
TYC 1480-657-1,,,,
TYC 1481-485-1,Arcalís,,,
TYC 1481-694-1,,,,Boo
TYC 1481-722-1,,ξ,37,Boo
TYC 1482-1131-1,,,26,Boo
TYC 1487-1430-1,,τ1,9,Ser
TYC 1489-1252-1,,,,
TYC 1489-1253-1,,,,Ser
TYC 1494-616-1,,τ4,17,Ser
TYC 1494-1862-1,,τ5,18,Ser
TYC 1494-1863-1,,τ2,12,Ser
TYC 1495-371-1,,τ8,26,Ser
TYC 1495-1993-1,,τ6,19,Ser
TYC 1495-1994-1,Nasak Shamiya,β,28,Ser
TYC 1496-2119-1,,γ,41,Ser
TYC 1497-1708-1,,τ3,15,Ser
TYC 1498-1787-1,,ι,21,Ser
TYC 1498-1788-1,,τ7,22,Ser
TYC 1498-1789-1,Gudja,κ,35,Ser
TYC 1502-1782-1,,ρ,38,Ser
TYC 1502-1783-1,,,,Ser
TYC 1504-133-1,,q,,Her
TYC 1507-1114-1,,r,5,Her
TYC 1508-937-1,,,8,Her
TYC 1508-1272-1,,κ,7,Her
TYC 1508-1273-1,Marsic,κ,7,Her
TYC 1510-51-1,,,,
TYC 1512-668-1,,,16,Her
TYC 1513-1261-1,,γ,20,Her
TYC 1514-1249-1,,s,,Her
TYC 1518-1442-1,Kornephoros,β,27,Her
TYC 1519-815-1,,,,Her
TYC 1525-1264-1,,,54,Her
TYC 1541-2807-1,,,,Her
TYC 1541-2808-1,,,,Her
TYC 1554-2021-1,,,93,Her
TYC 1566-3673-1,,,98,Her
TYC 1566-3674-1,,,95,Her
TYC 1566-3676-1,,,96,Her
TYC 1575-1960-1,,,101,Her
TYC 1579-1852-1,,,102,Her
TYC 1580-2157-1,,,106,Her
TYC 1580-2158-1,,,109,Her
TYC 1585-2531-1,Deneb al Okab Borealis,ε,13,Aql
TYC 1586-4530-1,,,,
TYC 1587-2067-1,,,111,Her
TYC 1589-1842-1,,,,Her
TYC 1589-2551-1,,,,Aql
TYC 1591-1918-1,,,110,Her
TYC 1595-923-1,,,,Her
TYC 1596-2751-1,,,112,Her
TYC 1597-1520-1,,,,Vul
TYC 1599-546-1,,,,Sge
TYC 1602-1582-1,,,,Sge
TYC 1602-1782-1,,ε,4,Sge
TYC 1604-1456-1,,,3,Sge
TYC 1604-1460-1,,,2,Sge
TYC 1606-2341-1,Sham,α,5,Sge
TYC 1606-2342-1,,β,6,Sge
TYC 1607-913-1,,,,Sge
TYC 1608-1200-1,,,5,Vul
TYC 1608-1202-1,,,4,Vul
TYC 1609-1475-1,,,7,Vul
TYC 1609-2082-1,,,9,Vul
TYC 1611-606-1,,,,Vul
TYC 1611-2043-1,,,1,Vul
TYC 1611-2044-1,,,1,Sge
TYC 1616-837-1,,,10,Sge
TYC 1616-1861-1,,,11,Sge
TYC 1617-764-1,,,14,Sge
TYC 1617-2050-1,,,,Aql
TYC 1618-1174-1,,,,Sge
TYC 1618-2331-1,,ρ,67,Aql
TYC 1619-749-1,,,,Sge
TYC 1619-3542-1,,δ,7,Sge
TYC 1620-3737-1,,,9,Sge
TYC 1621-1499-1,,,15,Sge
TYC 1621-2189-1,,,13,Sge
TYC 1623-2647-1,,ζ,8,Sge
TYC 1624-3414-1,,γ,12,Sge
TYC 1625-1053-1,,η,16,Sge
TYC 1630-481-1,,θ,17,Sge
TYC 1633-2442-1,Sualocin,α,9,Del
TYC 1634-3055-1,Al Ukud,δ,11,Del
TYC 1634-3056-1,Al Salib,γ2,12,Del
TYC 1634-3057-1,,γ1,12,Del
TYC 1637-2033-1,,,,Del
TYC 1638-1025-1,,,,Del
TYC 1638-2504-1,,,,Del
TYC 1642-835-1,,,,
TYC 1643-2603-1,,,18,Sge
TYC 1645-2169-1,,,29,Vul
TYC 1660-1962-1,,,33,Vul
TYC 1661-2185-1,,,,Vul
TYC 1670-650-1,,,,Peg
TYC 1670-918-1,,,9,Peg
TYC 1670-919-1,,,13,Peg
TYC 1671-710-1,,,,Peg
TYC 1671-986-1,,,1,Peg
TYC 1672-1200-1,,,,Peg
TYC 1673-929-1,,,,Peg
TYC 1673-930-1,,,5,Peg
TYC 1676-1905-1,,,,Peg
TYC 1684-514-1,,,,Peg
TYC 1689-1986-1,,,,
TYC 1692-2205-1,,,25,Peg
TYC 1693-558-1,,,28,Peg
TYC 1694-1747-1,,,33,Peg
TYC 1698-1389-1,,,,Peg
TYC 1702-780-1,,,,Peg
TYC 1704-29-1,,,41,Peg
TYC 1704-805-1,,,39,Peg
TYC 1704-1449-1,,,40,Peg
TYC 1705-1602-1,,,45,Peg
TYC 1711-2475-1,Markab,α,54,Peg
TYC 1717-2193-1,Helvetios,,51,Peg
TYC 1718-2350-1,,,,Peg
TYC 1719-2320-1,,,65,Peg
TYC 1720-1813-1,,,74,Peg
TYC 1721-1813-1,,,76,Peg
TYC 1722-804-1,,,,Peg
TYC 1723-2166-1,,,75,Peg
TYC 1725-2097-1,,φ,81,Peg
TYC 1726-2507-1,,,71,Peg
TYC 1732-2731-1,,,85,Peg
TYC 1735-927-1,,,,And
TYC 1735-3180-1,Alpheratz,α,21,And
TYC 1737-2790-1,,,28,And
TYC 1739-2317-1,,ζ,34,And
TYC 1739-2318-1,,,36,And
TYC 1740-2109-1,,η,38,And
TYC 1741-427-1,,,,And
TYC 1743-857-1,,k,67,Psc
TYC 1744-2936-1,,ε,30,And
TYC 1745-2183-1,,i,65,Psc
TYC 1746-1870-1,,h,68,Psc
TYC 1747-2263-1,,φ,85,Psc
TYC 1750-2134-1,,,,Psc
TYC 1751-2178-1,,υ,90,Psc
TYC 1753-2053-1,,,,Psc
TYC 1754-192-1,Bélénos,,,
TYC 1754-2321-1,,l,91,Psc
TYC 1757-1964-1,,λ,9,Ari
TYC 1757-1965-1,,,7,Ari
TYC 1758-2416-1,Hamal,α,13,Ari
TYC 1758-2417-1,,κ,12,Ari
TYC 1761-2536-1,,,14,Ari
TYC 1761-2537-1,,,16,Ari
TYC 1761-2538-1,,,10,Ari
TYC 1761-2540-1,,,11,Ari
TYC 1763-3028-1,Mothallah,α,2,Tri
TYC 1765-1371-1,,,,Ari
TYC 1769-1308-1,,,20,Ari
TYC 1769-1309-1,,,21,Ari
TYC 1771-1398-1,,,30,Ari
TYC 1776-1395-1,,,35,Ari
TYC 1776-1396-1,Barani,,33,Ari
TYC 1777-688-1,,,,Tri
TYC 1777-1481-1,,,10,Tri
TYC 1778-1522-1,,,12,Tri
TYC 1778-1523-1,,,13,Tri
TYC 1785-603-1,,,,Ari
TYC 1787-1187-1,,,52,Ari
TYC 1788-1347-1,,,60,Ari
TYC 1789-1490-1,Bharani,c,41,Ari
TYC 1790-948-1,,,51,Ari
TYC 1790-1709-1,,,49,Ari
TYC 1791-1519-1,,,56,Ari
TYC 1792-1419-1,,,59,Ari
TYC 1793-1611-1,Lilii Borea,,39,Ari
TYC 1795-1546-1,,,55,Ari
TYC 1797-1555-1,,,66,Ari
TYC 1798-536-1,,,9,Tau
TYC 1799-1439-1,Maia,,20,Tau
TYC 1799-1440-1,Celaeno,,16,Tau
TYC 1799-1441-1,Electra,,17,Tau
TYC 1800-1622-1,,,,Tau
TYC 1800-2200-1,Pleione,,28,Tau
TYC 1800-2202-1,Alcyone,η,25,Tau
TYC 1800-2203-1,Atlas,,27,Tau
TYC 1800-2204-1,Merope,,23,Tau
TYC 1800-2205-1,,,26,Tau
TYC 1801-1864-1,,,64,Ari
TYC 1802-1524-1,,,7,Tau
TYC 1803-1582-1,,,11,Tau
TYC 1803-1583-1,,,18,Tau
TYC 1803-1584-1,Asterope,,21,Tau
TYC 1803-1585-1,Taygeta,q,19,Tau
TYC 1804-2521-1,Sterope,,22,Tau
TYC 1805-1736-1,,,62,Ari
TYC 1809-1349-1,,,,Ari
TYC 1813-817-1,,,33,Tau
TYC 1814-1647-1,,,36,Tau
TYC 1816-1891-1,,,62,Tau
TYC 1816-1892-1,,,72,Tau
TYC 1816-1893-1,,υ,69,Tau
TYC 1820-1416-1,,χ,59,Tau
TYC 1822-2314-1,,,41,Tau
TYC 1822-2315-1,,p,44,Tau
TYC 1824-1167-1,Alkalbain,φ,52,Tau
TYC 1826-1575-1,,ψ,42,Tau
TYC 1830-2127-1,,,95,Tau
TYC 1830-2128-1,,,,Tau
TYC 1830-2129-1,,τ,94,Tau
TYC 1830-2130-1,,,,Tau
TYC 1832-2497-1,,,99,Tau
TYC 1836-1792-1,,k,98,Tau
TYC 1845-3942-1,,,103,Tau
TYC 1845-3944-1,,,,Tau
TYC 1852-1198-1,,,118,Tau
TYC 1853-1958-1,,,,Tau
TYC 1859-1289-1,,,22,Aur
TYC 1859-1470-1,Elnath,β,112,Tau
TYC 1861-2149-1,,,121,Tau
TYC 1862-835-1,,,,Tau
TYC 1864-2010-1,,,2,Gem
TYC 1864-2011-1,Propus,,1,Gem
TYC 1865-2865-1,,,125,Tau
TYC 1866-2044-1,,,,Tau
TYC 1866-2598-1,,,132,Tau
TYC 1867-3204-1,,,139,Tau
TYC 1871-2618-1,,,136,Tau
TYC 1873-935-1,,,,Aur
TYC 1876-1774-1,,,,Aur
TYC 1877-113-1,,,4,Gem
TYC 1877-1716-1,Propus,η,7,Gem
TYC 1877-1717-1,,,8,Gem
TYC 1877-1718-1,,,3,Gem
TYC 1877-1719-1,,,6,Gem
TYC 1878-387-1,,,11,Gem
TYC 1878-861-1,,,12,Gem
TYC 1878-1429-1,Tejat,μ,13,Gem
TYC 1878-1430-1,,,9,Gem
TYC 1878-1431-1,,,10,Gem
TYC 1881-1593-1,,,5,Gem
TYC 1888-1793-1,,,49,Aur
TYC 1889-861-1,,κ,44,Aur
TYC 1892-236-1,,,53,Aur
TYC 1892-778-1,,,54,Aur
TYC 1892-1135-1,,,25,Gem
TYC 1895-1643-1,,,44,Gem
TYC 1895-2276-1,,ω,42,Gem
TYC 1896-11-1,,,48,Gem
TYC 1897-1639-1,Mebsuta,ε,27,Gem
TYC 1898-2479-1,,,37,Gem
TYC 1899-450-1,,,40,Gem
TYC 1899-1584-1,,,39,Gem
TYC 1900-108-1,,,,Gem
TYC 1900-2026-1,,,52,Gem
TYC 1904-1157-1,,,47,Gem
TYC 1905-1168-1,,,28,Gem
TYC 1907-321-1,,,,
TYC 1909-2506-1,,,58,Gem
TYC 1912-2347-1,,,82,Gem
TYC 1913-2400-1,,A,57,Gem
TYC 1916-2155-1,,c,76,Gem
TYC 1916-2156-1,,κ,77,Gem
TYC 1917-2487-1,,,53,Gem
TYC 1918-2337-1,,,64,Gem
TYC 1918-2338-1,,b,65,Gem
TYC 1918-2339-1,Propus,ι,60,Gem
TYC 1918-2340-1,,,59,Gem
TYC 1919-2109-1,,υ,69,Gem
TYC 1920-2194-1,Pollux,β,78,Gem
TYC 1924-2022-1,,σ,75,Gem
TYC 1927-1970-1,,,9,Cnc
TYC 1928-1817-1,Piautos,λ,19,Cnc
TYC 1930-674-1,,,4,Cnc
TYC 1930-1821-1,,ω,2,Cnc
TYC 1931-1927-1,,ψ1,13,Cnc
TYC 1931-1928-1,,ψ,14,Cnc
TYC 1933-747-1,,,,Gem
TYC 1933-2000-1,,φ,83,Gem
TYC 1934-1889-1,,χ,,Gem
TYC 1936-1174-1,,χ,18,Cnc
TYC 1938-445-1,,,,
TYC 1939-1462-1,,,15,Cnc
TYC 1941-1568-1,,,24,Cnc
TYC 1941-2000-1,,υ2,32,Cnc
TYC 1941-2826-1,,,28,Cnc
TYC 1941-2827-1,,υ1,30,Cnc
TYC 1944-2323-1,,φ2,23,Cnc
TYC 1947-1495-1,,φ1,22,Cnc
TYC 1949-2010-1,,ι,48,Cnc
TYC 1949-2011-1,Zubanah,ι,48,Cnc
TYC 1949-2012-1,Copernicus,ρ1,55,Cnc
TYC 1949-2013-1,,,53,Cnc
TYC 1949-2014-1,,ρ2,58,Cnc
TYC 1950-2323-1,,ν,69,Cnc
TYC 1954-1881-1,,,75,Cnc
TYC 1955-1904-1,Al Minlear al Asad,κ,1,Leo
TYC 1956-1536-1,,,67,Cnc
TYC 1956-1858-1,,,70,Cnc
TYC 1957-1674-1,,τ,72,Cnc
TYC 1959-401-1,,,9,Leo
TYC 1959-1582-1,Alterf,λ,4,Leo
TYC 1960-1550-1,Algenubi,ε,17,Leo
TYC 1961-1429-1,,g,22,Leo
TYC 1963-1558-1,,,13,Leo
TYC 1964-1473-1,Rasalas,μ,24,Leo
TYC 1966-51-1,,f,15,Leo
TYC 1967-656-1,,,,Leo
TYC 1969-1260-1,,,35,Leo
TYC 1969-1261-1,Adhafera,ζ,36,Leo
TYC 1969-1262-1,,,39,Leo
TYC 1975-1034-1,,,24,LMi
TYC 1975-1399-1,,,23,LMi
TYC 1977-2632-1,,,41,LMi
TYC 1978-604-1,,,48,LMi
TYC 1978-987-1,,,50,LMi
TYC 1978-1247-1,,,52,LMi
TYC 1978-1614-1,,,64,Leo
TYC 1978-2295-1,,,54,Leo
TYC 1978-2297-1,,,67,Leo
TYC 1979-2291-1,,,43,LMi
TYC 1979-2576-1,,,44,LMi
TYC 1979-2709-1,,,40,LMi
TYC 1981-2471-1,Zubrah,,72,Leo
TYC 1984-113-1,,,,UMa
TYC 1986-2431-1,,,4,Com
TYC 1986-2432-1,,,7,Com
TYC 1989-3203-1,,,13,Com
TYC 1989-3204-1,,,,Com
TYC 1989-3205-1,,,,
TYC 1989-3206-1,,,17,Com
TYC 1989-3208-1,,,17,Com
TYC 1989-3210-1,,,12,Com
TYC 1989-3213-1,Kissin,,21,Com
TYC 1989-3214-1,,,18,Com
TYC 1989-3217-1,,,8,Com
TYC 1990-3779-1,,,,Com
TYC 1990-3780-1,,,22,Com
TYC 1990-3784-1,,,23,Com
TYC 1991-1107-1,,,10,Com
TYC 1991-1895-1,Al Dafirah,γ,15,Com
TYC 1991-1896-1,,,9,Com
TYC 1991-1897-1,,,14,Com
TYC 1991-1901-1,,,16,Com
TYC 1992-2215-1,,,30,Com
TYC 1993-2902-1,,,40,Com
TYC 1995-2586-1,Polaris Galacticus Borealis,,31,Com
TYC 1996-2400-1,,β,43,Com
TYC 1996-2401-1,,,41,Com
TYC 2002-624-1,,,,Boo
TYC 2002-1055-1,,,3,Boo
TYC 2002-1056-1,,,9,Boo
TYC 2009-85-1,,,11,Boo
TYC 2010-1245-1,,d,12,Boo
TYC 2011-985-1,,,,Boo
TYC 2014-639-1,,,,Boo
TYC 2016-334-1,,,,Boo
TYC 2019-1251-1,Izar,ε,36,Boo
TYC 2019-1252-1,,,34,Boo
TYC 2020-1409-1,,ω,41,Boo
TYC 2021-1323-1,,σ,28,Boo
TYC 2024-1355-1,,c,45,Boo
TYC 2027-1405-1,Aulad Alnathlat,ψ,43,Boo
TYC 2027-1406-1,,b,46,Boo
TYC 2029-1690-1,Alphecca,α,5,CrB
TYC 2030-1317-1,,χ,48,Boo
TYC 2031-1389-1,,ο,1,CrB
TYC 2032-1605-1,Nusakan,β,3,CrB
TYC 2033-386-1,,,,Ser
TYC 2035-1749-1,,π,44,Ser
TYC 2036-1674-1,,γ,8,CrB
TYC 2037-1826-1,,ε,13,CrB
TYC 2037-1827-1,,δ,10,CrB
TYC 2038-1873-1,Kamui,,,
TYC 2039-1605-1,Variabilis Coronae,,,CrB
TYC 2041-1805-1,,ι,14,CrB
TYC 2042-1068-1,,,10,Her
TYC 2046-102-1,,,19,Her
TYC 2053-1366-1,,,39,Her
TYC 2054-1147-1,,υ,18,CrB
TYC 2061-489-1,,,63,Her
TYC 2062-1253-1,,,51,Her
TYC 2063-924-1,,,57,Her
TYC 2063-1212-1,,,56,Her
TYC 2065-1930-1,Sarin,δ,65,Her
TYC 2070-787-1,,,48,Her
TYC 2070-1410-1,,,50,Her
TYC 2074-1985-1,,,73,Her
TYC 2076-3366-1,,,79,Her
TYC 2077-4273-1,,,84,Her
TYC 2078-1803-1,,,70,Her
TYC 2079-2057-1,Maasym,λ,76,Her
TYC 2080-3223-1,,,83,Her
TYC 2081-3674-1,,,87,Her
TYC 2083-2619-1,,,,Her
TYC 2085-3062-1,,μ,86,Her
TYC 2087-2410-1,,,78,Her
TYC 2090-4674-1,,,,
TYC 2091-131-1,,,,Her
TYC 2091-4081-1,,,97,Her
TYC 2094-4213-1,,,89,Her
TYC 2095-3224-1,,,100,Her
TYC 2095-3225-1,,,100,Her
TYC 2097-634-1,,,105,Her
TYC 2102-2772-1,,ξ,92,Her
TYC 2103-3078-1,,ο,103,Her
TYC 2105-2583-1,,,108,Her
TYC 2105-2586-1,,t,107,Her
TYC 2109-125-1,,,,Her
TYC 2109-2837-1,,,113,Her
TYC 2122-1291-1,,,,Vul
TYC 2124-468-1,,,,Vul
TYC 2124-2557-1,,,2,Vul
TYC 2129-2771-1,,,8,Vul
TYC 2129-2772-1,Anser,α,6,Vul
TYC 2132-3196-1,,,,Lyr
TYC 2132-3895-1,,,3,Vul
TYC 2133-2963-1,,β2,6,Cyg
TYC 2133-2964-1,Albireo,β1,6,Cyg
TYC 2137-3101-1,,,2,Cyg
TYC 2140-3051-1,,,13,Vul
TYC 2140-3054-1,,,12,Vul
TYC 2141-2712-1,,,14,Vul
TYC 2143-1958-1,,,10,Vul
TYC 2145-1661-1,,,16,Vul
TYC 2147-3303-1,,,,Vul
TYC 2149-1880-1,,,15,Vul
TYC 2150-5010-1,,,9,Cyg
TYC 2151-5895-1,,,,Cyg
TYC 2151-5896-1,,,,Cyg
TYC 2152-6207-1,,,,Vul
TYC 2153-2883-1,,,,
TYC 2154-4100-1,,,17,Vul
TYC 2155-2337-1,,,22,Vul
TYC 2157-1647-1,,,28,Vul
TYC 2159-2068-1,,,,Vul
TYC 2159-2069-1,,,24,Vul
TYC 2159-2070-1,,,25,Vul
TYC 2161-7-1,,,26,Vul
TYC 2162-1673-1,,,18,Vul
TYC 2162-1674-1,,,19,Vul
TYC 2162-1675-1,,,20,Vul
TYC 2163-1794-1,,,23,Vul
TYC 2163-1795-1,,,,Vul
TYC 2165-436-1,,,27,Vul
TYC 2167-1352-1,,,21,Vul
TYC 2174-261-1,,,,Vul
TYC 2174-2867-1,,,30,Vul
TYC 2179-2495-1,,,32,Vul
TYC 2179-2496-1,,,31,Vul
TYC 2183-2726-1,,,,Vul
TYC 2183-2731-1,,,,Vul
TYC 2187-2178-1,,,34,Vul
TYC 2188-2203-1,,,2,Peg
TYC 2190-1548-1,,,,
TYC 2193-2017-1,,κ,10,Peg
TYC 2195-2392-1,,,35,Vul
TYC 2201-2078-1,,μ1,78,Cyg
TYC 2202-1719-1,,,12,Peg
TYC 2206-1964-1,,,16,Peg
TYC 2208-2471-1,,ι,24,Peg
TYC 2214-2037-1,,,15,Peg
TYC 2216-1897-1,,,23,Peg
TYC 2221-1666-1,Sadalnazi,λ,47,Peg
TYC 2225-1821-1,Sadalbari,μ,48,Peg
TYC 2226-2570-1,,,,Peg
TYC 2230-2066-1,,,32,Peg
TYC 2231-1662-1,,,,Peg
TYC 2232-1590-1,Sadalmatar,ο,43,Peg
TYC 2237-1659-1,Salm,τ,62,Peg
TYC 2237-1660-1,Alkarab,υ,68,Peg
TYC 2239-1475-1,,,56,Peg
TYC 2243-1831-1,Scheat,β,53,Peg
TYC 2244-967-1,,,60,Peg
TYC 2248-1688-1,,,61,Peg
TYC 2253-586-1,,,69,Peg
TYC 2255-2883-1,,ψ,84,Peg
TYC 2256-2401-1,,,,Peg
TYC 2257-2521-1,,,78,Peg
TYC 2258-1855-1,,,79,Peg
TYC 2266-725-1,,,,And
TYC 2267-101-1,,,,
TYC 2271-1441-1,,,,
TYC 2273-2081-1,,σ,25,And
TYC 2275-1753-1,,δ,31,And
TYC 2277-843-1,,σ,69,Psc
TYC 2278-1259-1,,g,82,Psc
TYC 2278-1260-1,,τ,83,Psc
TYC 2279-1665-1,,π,29,And
TYC 2282-1007-1,,,76,Psc
TYC 2282-1412-1,,,78,Psc
TYC 2286-1329-1,Mirach,β,43,And
TYC 2301-421-1,,,,Tri
TYC 2305-1638-1,,,,And
TYC 2308-2170-1,,,,Tri
TYC 2309-1661-1,,,5,Tri
TYC 2309-1821-1,,,6,Tri
TYC 2311-2233-1,,,,
TYC 2312-2432-1,,ε,3,Tri
TYC 2314-1819-1,,,7,Tri
TYC 2317-1647-1,Mizan,β,4,Tri
TYC 2318-1874-1,,δ,8,Tri
TYC 2318-1875-1,,γ,9,Tri
TYC 2319-1796-1,,,56,And
TYC 2323-1924-1,,,11,Tri
TYC 2325-639-1,,,,Ari
TYC 2325-1358-1,,,,Ari
TYC 2326-1180-1,,,,Ari
TYC 2330-2043-1,,,21,Per
TYC 2332-1426-1,,,,Tri
TYC 2332-2197-1,,,15,Tri
TYC 2334-1041-1,,,24,Per
TYC 2334-1042-1,,,17,Per
TYC 2335-442-1,,,14,Tri
TYC 2344-2357-1,,,,Per
TYC 2346-1184-1,,,,Per
TYC 2348-1883-1,,,,Per
TYC 2357-2042-1,,,,Per
TYC 2359-1258-1,Atik,ο,38,Per
TYC 2360-1949-1,,n,42,Per
TYC 2361-2820-1,Atik,ζ,44,Per
TYC 2362-115-1,,,,Per
TYC 2363-2185-1,,o,40,Per
TYC 2365-1586-1,,,,Per
TYC 2369-2273-1,Menkib,ξ,46,Per
TYC 2379-2589-1,,,54,Per
TYC 2380-2428-1,,,55,Per
TYC 2380-2429-1,,,56,Per
TYC 2385-661-1,,,,Per
TYC 2391-1446-1,Hassaleh,ι,3,Aur
TYC 2394-2026-1,,,,Aur
TYC 2394-2027-1,,,16,Aur
TYC 2394-2028-1,,,14,Aur
TYC 2398-894-1,,,,Aur
TYC 2398-1022-1,,,18,Aur
TYC 2398-1311-1,,,17,Aur
